HHLDNO,CERTMTH,RAWBEN,EXPEDSER,FSMEDEXP,FSDEPDED,RAWNET,SUA1,SUA2,FSCSEXP,RENT,SHELDED,ALLADJ,AMTADJ,REP_SYS,CTPRHH,FSCSDED,RAWGROSS,RAWERND,FSMEDDED,UTIL,FSNDISCA,FSNDIS,LASTCERT,BENFIX,FSUSIZE,BENMAX,MINIMUM_BEN,FSNKID,FSERNDED,FSSLTDED,FSSTDDED,FSTOTDED,SHELCAP,NONCIT_HEAD,COMPOSITION,MED_DED_DEMO,ERN_INC_DED_PCT,FSSLTEXP,NETSCRN,GROSSCRN,,,,,FSOTHERN,FSSLFEMP,FSWAGES,FSCSUPRT,FSTANF,FSCONT,FSDEEM,FSOTHGOV,FSOTHUN,FSSOCSEC,FSEDLOAN,FSGA,FSUNEMP,FSVET,FSWCOMP,FSDIVER,FSSSI,FSWGESUP,FSENERGY,FSEITC,FSFOSTER,TANF_IND,FSEARN,FSUNEARN,FSGRINC,EXCL_FSCSDED,TPOV,WRK_POOR,FSNETINC,FSBEN,FSMINBEN,SSI_CAP,FSSTDDE2,FSERNDE2,FSDEPDE2,FSMEDDE2,FSSLTDE2,FSTOTDE2,PURE_PA,ASSLIM,FSASTEST,FSGRTEST,FSNETEST,FSBENSUPP,SUPP_BEN,FSNONCIT,FSDIS,FSELDER,FSKID,HH_Member__AGE1,HH_SEX,HH_RACE,HH_FSAFIL,HH_CTZN,HH_YRSED,HH_EMPRG,HH_EMPSTA,HH_EMPSTB,HH_WAGES,HH_SLFEMP,HH_EITC,HH_OTHERN,HH_SOCSEC,HH_VET,HH_SSI,HH_UNEMP,HH_WCOMP,HH_OTHGOV,HH_WRKREG,HH_ABWDST,HH_NDISCA,HH_WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,281,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,100,837,No adjustment,0,Other,1,0,561,0,0,921,0,0,2,281,1,281,23,0,0,837,193,1030,624,Head of unit is a citizen,No children,0,0.1999999285,1021,1133,1473,EasyPack Fulfillment,854 Miller Rd,Flint,48506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,561,561,0,50,0,0,281,0,Not in SSI-CAP,0,0,0,0,368,561,1,4250,1,1,1,95,1,0,0,1,0,72,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,Naturalized citizen,Grade 9,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,561,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,7849 Station Ct,Grosse Pointe Farms,MI,48463,Piper,Parker,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,516,Not entitled to expedited service,0,0,0,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),2,0,0,0,0,0,0,0,0,516,2,516,23,1,0,0,193,193,624,Head of unit is a participating noncitizen,Child(ren) and one female adult,0,0.1999999285,0,1526,1984,Golden Crust Pizza,102 Washtenaw Ave,Ann Arbor,48104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,Not in SSI-CAP,0,0,0,0,0,0,0,2750,1,1,1,95,1,1,0,0,1,27,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,"Legal permanent resident with 40 quarters of work, military service, five years legal U.S. residency, disability, or under age 18","Postsecondary education (for example, technical education or some college)",Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,3605 Elm Ct,Sturgis,MI,49069,Allison,Evans,,,,,,,Johnny,Evans,7,,,,,,,,,,,,,,,,,
3,12,54,Not entitled to expedited service,0,0,1347,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,627,583,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),2,0,2123,0,0,921,1,0,8,111,2,516,23,0,0,583,193,776,624,Head of unit is a citizen,No children,0,0.1999999285,1548,1526,1984,GreenLeaf Landscaping,981 Miller Ave,Ann Arbor,48112,0,0,0,0,0,0,0,0,0,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,2123,2123,0,139,0,1347,111,0,Not in SSI-CAP,289,0,0,0,583,776,0,4250,1,1,1,405,1,0,0,1,0,45,Female,(Hispanic or Latino) and White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),Adult without a disability in childless unit within the age range subject to time limits,0,9425 Hamilton Pl,Rochester Hills,MI,49488,Jasmine,Robinson,Violet,Burke,22,,,,,,,,,,,,,,,,,,,,,,,
4,12,246,Not entitled to expedited service,0,0,183,Uses higher standard based on LIHEAA assistance,Not prorated,0,500,624,Prorated benefit,512,Simplified reporting (exceeding 130% of income poverty guidelines),3,0,1000,0,0,921,0,0,0,228,3,740,23,2,0,624,193,817,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1421,1920,2495,CleanSweep Janitorial,579 Warren Ave,Detroit,48208,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,0,52,0,183,685,0,Not in SSI-CAP,193,0,0,0,624,817,0,2750,1,1,1,95,1,0,0,0,1,27,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,Naturalized citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,4133 Lake Way,Warren,MI,49910,Vivian,Adams,,,,,,,Harold,Adams,6,Penelope,Adams,16,,,,,,,,,,,,,,
5,36,281,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,800,1397,No adjustment,0,Other,1,0,841,0,0,921,0,0,7,281,1,281,23,0,0,1397,193,1590,624,Head of unit is a citizen,No children,0,0.1999999285,1721,1133,1473,Sunny Laundry Services,965 Court St,Flint,48507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,0,0,841,841,0,74,0,0,281,0,Not in SSI-CAP,0,0,0,0,648,841,1,4250,1,1,1,95,1,0,0,1,0,69,Male,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,841,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,706 Madison Ter,Wayne,MI,49012,Cooper,Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,516,Entitled to expedited service and received benefits within Federal time frame,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,407,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),2,0,614,0,0,921,0,0,10,516,2,516,23,1,0,624,193,817,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1328,1526,1984,AllDay Pharmacy,213 Main St,Ann Arbor,48105,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,614,614,0,40,0,0,516,0,Not in SSI-CAP,0,0,0,0,421,614,1,2750,1,1,1,95,1,0,0,0,1,23,Female,(Hispanic or Latino) and White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,7313 Adams Ter,Bad Axe,MI,48092,Isla,Anderson,,,,,,,Zoey,Anderson,8,,,,,,,,,,,,,,,,Renting household at same address has different reported utility posture,
9,36,281,Entitled to expedited service and received benefits within Federal time frame,0,0,0,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Other,1,0,564,0,0,0,0,0,2,281,1,281,23,0,0,736,193,929,624,Head of unit is a citizen,No children,0,0.1999999285,921,1133,1473,CityEats Food Truck Co,176 Beach St,Flint,48508,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,564,564,0,50,0,0,281,0,Not in SSI-CAP,0,0,0,0,371,564,0,4250,1,1,1,95,1,0,0,1,0,64,Female,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,Naturalized citizen,Grade 9,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,564,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,7313 Adams Ter,Bad Axe,MI,48092,Aurora,Cruz,,,,,,,,,,,,,,,,,,,,,,,,,Renting household at same address has different reported utility posture,
10,12,281,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,525,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,525,80,0,921,0,0,7,281,1,281,23,0,80,624,193,897,624,Head of unit is a citizen,No children,0,0.1999999285,1446,1133,1473,QuickServe Sandwiches,287 Center Rd,Flint,48509,400,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,125,525,0,46,1,0,281,0,Not in SSI-CAP,0,0,0,0,252,525,0,2750,1,1,1,95,1,0,0,0,0,58,Female,(Hispanic or Latino) and White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,"Self-employed, nonfarming",1â€“19 hours/week,0,0,0,400,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),1,2461 Forest Blvd,Troy,MI,49533,Melody,Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,740,Entitled to expedited service and received benefits within Federal time frame,0,0,0,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,1150,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),3,0,698,0,0,921,0,0,10,740,3,740,23,2,0,624,193,817,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,2071,1920,2495,BudgetStay Motel,680 Eight Mile Rd,Detroit,48209,0,0,0,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,698,0,36,0,0,740,0,Not in SSI-CAP,74,0,0,0,505,698,0,2750,1,1,1,95,1,0,0,0,1,31,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,College graduate or postgraduate degree,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,6968 Park Way,Tawas City,MI,49640,Jasmine,Morales,,,,,,,Grace,Morales,7,Cooper,Morales,17,,,,,,,,,,,,,,
13,36,229,Not entitled to expedited service,0,0,547,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,133,521,No adjustment,0,Other,2,0,1260,0,0,921,0,1,1,352,2,516,23,1,0,521,193,714,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1054,1526,1984,TownSquare Cafe,324 Liberty St,Ann Arbor,48106,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,1,0,1260,1260,0,83,0,546,352,0,Not in SSI-CAP,290,0,0,0,521,714,1,4250,1,1,1,164,1,0,1,0,1,54,Female,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,841,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,9669 College St,Clawson,MI,49848,Willow,Rogers,,,,,,,Declan,Rogers,9,,,,,,,,,,,,,,,,,
