person_id,mrn,medicaid_id,health_plan_id,ssn_last4,first_name,last_name,middle_initial,name_suffix,date_of_birth,age,sex_at_birth,gender_identity,gender_admin,sexual_orientation,race_codes,race_desc,ethnicity_code,ethnicity_desc,tribal_affiliation,preferred_language_code,preferred_language_desc,interpreter_needed,marital_status_code,marital_status_desc,address_line1,city,state,zip,county,phone_home,phone_type,email,insurance_code,insurance_desc,occupation,industry_naics,veteran_status,record_created_date,fhir_resource_type,data_source
ec0497d4-d56f-458f-a8d8-631e7af047c5,MRN790782,MI99524784,HP791758,5078,Aisha,White,,,1998-08-25,27,F,male,female,heterosexual,2054-5,Black or African American,N,Not Hispanic or Latino,,fr,French,true,S,Single,8192 Oak Ave,Detroit,MI,48203,Detroit County,(313) 565-6003,home,aisha.white27@example.com,LA30195-4,CHIP Medicaid,Software Developer,511,Yes,2026-02-24,Patient,Synthetic-USCDI-v6
f2677677-ec58-4248-a600-29c15f2c9e10,MRN162399,MI87239058,HP429761,6395,Aisha,Khan,B,,1958-11-13,67,F,male,female,heterosexual,2076-8,Native Hawaiian or Other Pacific Islander,N,Not Hispanic or Latino,,es,Spanish,false,S,Single,5380 Pine Rd,Dearborn,MI,48178,Dearborn County,(810) 617-5839,mobile,aisha.khan20@example.com,LA15652-3,Medicare,Unemployed,N/A,No,2026-02-24,Patient,Synthetic-USCDI-v6
ac50c76f-2b1e-4caa-a7c6-5d2c73baace2,MRN712630,MI34558696,HP554115,1085,Jennifer,Lee,T,,1978-03-06,48,UNK,male,unknown,heterosexual,2028-9,Asian,N,Not Hispanic or Latino,,en,English,false,S,Single,4989 Main Ave,Dearborn,MI,48169,Dearborn County,(734) 679-3129,mobile,jennifer.lee62@example.com,LA17849-3,Medicaid,Security Guard,561,No,2026-02-24,Patient,Synthetic-USCDI-v6
152f117e-494b-465c-9ccb-713f8687360e,MRN119740,MI85916159,HP895364,2789,Fatima,Khan,T,,1958-12-05,67,UNK,female,unknown,heterosexual,2106-3,White,N,Not Hispanic or Latino,,en,English,false,M,Married,6280 Oak Rd,Saginaw,MI,48605,Saginaw County,(906) 287-9019,home,fatima.khan41@example.com,LA15652-3,Medicare,Security Guard,561,No,2026-02-24,Patient,Synthetic-USCDI-v6
f0487d3e-2607-41b4-a18a-73fca68c1e6b,MRN240766,MI80104469,HP273747,6200,Omar,Martinez,S,,1977-07-01,48,M,male,male,heterosexual,2054-5,Black or African American,H,Hispanic or Latino,,es,Spanish,true,D,Divorced,9384 Maple Ct,Flint,MI,48596,Flint County,(906) 561-2470,mobile,omar.martinez11@example.com,LA15652-3,Medicare,Retail Associate,441,No,2026-02-24,Patient,Synthetic-USCDI-v6
9ef56f78-0049-4fdf-96fe-2b64c9afde25,MRN108619,MI14585690,HP563548,7732,Sarah,Garcia,,,2001-04-09,24,F,female,female,heterosexual,2106-3,White,N,Not Hispanic or Latino,,en,English,false,S,Single,136 Oak Ln,Flint,MI,48573,Flint County,(313) 294-2041,mobile,sarah.garcia11@example.com,LA15652-3,Medicare,Software Developer,511,Yes,2026-02-24,Patient,Synthetic-USCDI-v6
f6a4591f-d26f-4db7-abe6-1e6018bfb3ea,MRN748155,MI47365522,HP797591,6701,Lisa,Lee,D,,1969-08-26,56,F,male,female,heterosexual,1002-5,American Indian or Alaska Native,N,Not Hispanic or Latino,Tlingit,en,English,false,M,Married,3294 Lincoln Ct,Pontiac,MI,48361,Pontiac County,(734) 425-8734,work,lisa.lee33@example.com,LA6350-8,Private insurance,Retail Associate,441,No,2026-02-24,Patient,Synthetic-USCDI-v6
2ad1a5c0-9865-42ac-8d21-1bcf7da353eb,MRN713362,MI58783570,HP628261,7902,William,Davis,K,,2008-08-16,17,M,female,male,heterosexual,2028-9,Asian,N,Not Hispanic or Latino,,en,English,false,M,Married,1050 Oak Rd,Ann Arbor,MI,48108,Ann Arbor County,(517) 701-9056,home,william.davis20@example.com,LA17849-3,Medicaid,Software Developer,511,No,2026-02-24,Patient,Synthetic-USCDI-v6
5f0a7e7d-6580-41b2-92f4-ed3121fcc159,MRN493318,MI41321082,HP408892,1454,Henry,Johnson,D,,2000-04-06,25,M,female,male,heterosexual,1002-5|2028-9,American Indian or Alaska Native|Asian,N,Not Hispanic or Latino,Chippewa Cree,en,English,false,D,Divorced,2635 Cedar St,Kalamazoo,MI,49073,Kalamazoo County,(906) 703-1404,mobile,henry.johnson28@example.com,LA6350-8,Private insurance,Administrative Assistant,561,No,2026-02-24,Patient,Synthetic-USCDI-v6
3702c0fd-ca36-4319-be6d-7d8ec09e3324,MRN540263,MI42440577,HP684784,4378,Marcus,Anderson,J,Sr.,1969-05-09,56,M,male,male,heterosexual,2106-3|1002-5,White|American Indian or Alaska Native,N,Not Hispanic or Latino,Tlingit,en,English,false,S,Single,971 Park Way,Pontiac,MI,48341,Pontiac County,(248) 815-3243,mobile,marcus.anderson40@example.com,LA30194-7,None/uninsured,Truck Driver,484,No,2026-02-24,Patient,Synthetic-USCDI-v6
