hmis_record_id,person_id,hmis_client_unique_id,first_name,last_name,date_of_birth,ssn_last4,name_data_quality,dob_data_quality,ssn_data_quality,gender_hmis,race_ethnicity_all,veteran_status,disabling_condition,prior_living_situation_code,prior_living_situation_desc,enrollment_id,program_type,coc_region,program_start_date,program_exit_date,exit_reason_code,exit_reason_desc,housing_status_at_exit,destination_at_exit,ce_event_type,ce_event_date,vi_spdat_score,vi_spdat_score_date,chronic_homeless_status,referral_id,referral_status_code,referral_status_desc,referral_agency,referral_date,active_roi,revoked_consent,last_activity_date,last_activity_agency,data_source,hmis_platform
84314072-3aa5-4928-b866-1ad3cd9521f2,62ae1f33-534d-4563-b9ef-e3dc00818a5d,fe8c4f90-82a4-4f4b-864a-14fe469114f2,Carlos,Brown,1943-01-31,3833,Full name reported,Full DOB reported,Client doesn't know,male,Black or African American|White; Not Hispanic or Latino,No,Client doesn't know,DO,Doubled up with family or friends,5494655a-75c0-4f3f-941d-dcbf2a27260f,Street Outreach,Portland/Multnomah County CoC,20260209,20260922,99,Unknown/other,Housed,Temporary housing,Referral,20250315,13,20250413,No,99eb109a-befd-418a-9187-11ce02a9cb78,declined,Declined,Providence Portland Medical Center,20250307,Yes,No,20260107,Providence Portland Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
baddbb3a-0c49-46e8-aa72-b9c7468a9d6c,08a1fdf3-5faf-4ebc-987a-96e6a57ff796,6be811dd-aa1d-4833-8a6d-c3f54d473356,Maria,Khan,2021-09-25,7667,Full name reported,Client refused,Client refused,male,Native Hawaiian or Other Pacific Islander; Not Hispanic or Latino,Yes,Yes,ES,Emergency Shelter,e0c85897-5e61-458a-9be3-294d4025f097,Street Outreach,Oregon Balance of State CoC,20240319,20241119,99,Unknown/other,Not Housed,Permanent housing,Problem Solving,20250408,11,20250812,No,265b8f13-18e2-481c-97a9-887682d1311d,accepted,Accepted,PeaceHealth Sacred Heart,20251031,Yes,No,20251122,PeaceHealth Sacred Heart,BitFocus-Clarity-HMIS,BitFocus Clarity
5f474874-0924-4791-a672-64b6fd7f4a16,caa5d25c-48aa-46e6-867c-3c7e57cb9c7d,c3e3a97e-945f-416b-8914-9b8f310d8fd3,Noah,White,1976-03-30,3561,Full name reported,Full DOB reported,Partial SSN,male,Black or African American|White; Not Hispanic or Latino,No,No,HH,Place not meant for human habitation,a4592078-8803-4f30-b3e8-ea15e9ece765,Street Outreach,Oregon Balance of State CoC,20240329,20241123,02,Completed program,Not Housed,Permanent housing,Referral,20250710,1,20251129,No,64b4dea4-5de9-43dd-a219-1cded4d62257,accepted,Accepted,Legacy Emanuel Medical Center,20251006,Yes,No,20251204,Legacy Emanuel Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
789e2300-1375-4aea-b6a0-72ae75c9772c,42cf631a-375c-45d2-a214-0db5de5db8dd,c79325a8-2aba-4e46-b097-e227e84fc8bf,Ana,Taylor,1950-03-03,4435,Full name reported,Full DOB reported,Full SSN reported,male,Black or African American|Native Hawaiian or Other Pacific Islander; Hispanic or Latino,No,No,HO,Hotel/motel,7be27797-f799-449d-8e9c-f27b1641e162,Rapid Re-Housing,Oregon Balance of State CoC,20241214,20250827,01,Left for a housing opportunity before completing program,Housed,Temporary housing,Referral to PSH,20250410,17,20260207,No,b2ea5c49-7f89-4785-898b-a01c7f606e2c,accepted,Accepted,Legacy Emanuel Medical Center,20250829,Yes,No,20250930,Legacy Emanuel Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
112bd5d2-d5aa-4288-ac64-faec1bf4000f,8f6c34df-1359-4c23-bfaa-5dc3a9e3e4d0,fe0ee567-7cde-4942-81f8-6410e8527212,Fatima,Taylor,1957-03-18,4746,Full name reported,Full DOB reported,Client doesn't know,male,Asian|Black or African American; Not Hispanic or Latino,No,No,SH,Safe Haven,735aba14-a66d-4a85-b18e-a0206ec837bf,Street Outreach,Portland/Multnomah County CoC,20240531,20241014,03,Non-compliance with program rules,Housed,Temporary housing,Problem Solving,20250405,9,20250612,No,faf38150-339c-4019-95f8-41948cc29070,accepted,Accepted,OHSU Hospital,20260102,Yes,No,20260118,OHSU Hospital,BitFocus-Clarity-HMIS,BitFocus Clarity
c5559346-d7e1-429d-9f27-5030ec94ffc5,a474d38e-b6a9-44f2-9c7b-0c01aec5692b,00f76eac-dfd9-476b-87fc-d531f90f8054,Linda,Williams,1990-02-20,1191,Full name reported,Full DOB reported,Client refused,male,Native Hawaiian or Other Pacific Islander|Asian; Not Hispanic or Latino,No,No,PH,Permanent Housing,807f2fe9-3b61-463c-a6b8-778ce9eb8cfb,Homelessness Prevention,Eugene/Springfield CoC,20260115,,,,,,Phone Intake,20260216,5,20250425,Yes,b1dda5ba-6dd1-4c45-be0f-3c9d19b6975e,pending,Pending,OHSU Hospital,20250913,Yes,No,20260208,OHSU Hospital,BitFocus-Clarity-HMIS,BitFocus Clarity
d8c22de9-486e-4198-9d59-69983ce6e985,8511e648-17be-46bb-9b2c-98c53a127b01,c972974a-0a88-4f9a-b157-744b7bb585ec,Priya,Brown,1989-10-22,2754,Full name reported,Full DOB reported,Full SSN reported,male,Asian|Black or African American; Not Hispanic or Latino,No,Yes,OT,Other,0794a19b-2566-4632-8b14-f096534a6c77,Homelessness Prevention,Oregon Balance of State CoC,20240319,,,,,,VI-SPDAT Assessment,20250731,10,20260111,Unknown,f918d214-02d5-4980-9778-75c14ec8bf63,accepted,Accepted,OHSU Hospital,20250401,Yes,No,20251026,OHSU Hospital,BitFocus-Clarity-HMIS,BitFocus Clarity
1c2c0a7e-b2fa-480f-9a5f-a3609d99c3d0,7c525912-45ac-43e7-987f-da202076747e,3bc97d84-23e3-4747-a484-907976c69bd0,Omar,Thomas,2009-05-22,6533,Full name reported,Full DOB reported,Client refused,transgender-female,Native Hawaiian or Other Pacific Islander; Hispanic or Latino,No,Client doesn't know,TH,Transitional Housing,b39f8c1b-9864-46da-bfdc-ce624967ec82,Permanent Supportive Housing,Eugene/Springfield CoC,20250713,20251118,01,Left for a housing opportunity before completing program,Not Housed,Permanent housing,Referral to PSH,20260121,12,20260220,Yes,f6be6d18-0d91-4a8f-a5fe-17afe3ac0df0,pending,Pending,Salem Health,20251127,Yes,No,20251107,Salem Health,BitFocus-Clarity-HMIS,BitFocus Clarity
774c6945-0edd-4fed-b93a-669fc2c807e0,906bae61-f3ba-40bd-9f40-c99e56bb4b7b,3b94509e-d026-4f5b-8f92-4102044b14a7,Robert,Chen,1977-12-27,8299,Full name reported,Client doesn't know,Client doesn't know,male,Asian; Not Hispanic or Latino,No,No,HH,Place not meant for human habitation,9ca07f16-8cf8-40ef-8984-a591b6e76072,Street Outreach,Eugene/Springfield CoC,20241023,20241227,05,Reached maximum time allowed,Unknown,Permanent housing,Referral,20250813,10,20251213,No,23856a27-01fc-4e48-b48d-9da7f8679f32,pending,Pending,Providence Portland Medical Center,20260207,Yes,No,20251019,Providence Portland Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
1b3a215e-5ec3-4935-b0ca-b3b41c00adc5,f8f6e462-d7a3-42ab-85dc-eb455c70496b,7c83b0e2-8bbc-4765-9970-66e9f3131c4c,Nadia,White,1950-08-02,4316,Full name reported,Client refused,Partial SSN,male,White|Native Hawaiian or Other Pacific Islander; Not Hispanic or Latino,No,No,PH,Permanent Housing,3df62551-dc44-4834-b2b8-fdb69f625afa,Street Outreach,Oregon Balance of State CoC,20241015,20250105,01,Left for a housing opportunity before completing program,Unknown,Temporary housing,Housing Identified,20251020,15,20251219,No,624557b8-8c60-4bb2-a2c3-a2e9d570cd90,accepted,Accepted,Legacy Emanuel Medical Center,20250718,Yes,No,20251012,Legacy Emanuel Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
