hmis_record_id,person_id,hmis_client_unique_id,first_name,last_name,date_of_birth,ssn_last4,name_data_quality,dob_data_quality,ssn_data_quality,gender_hmis,race_ethnicity_all,veteran_status,disabling_condition,prior_living_situation_code,prior_living_situation_desc,enrollment_id,program_type,coc_region,program_start_date,program_exit_date,exit_reason_code,exit_reason_desc,housing_status_at_exit,destination_at_exit,ce_event_type,ce_event_date,vi_spdat_score,vi_spdat_score_date,chronic_homeless_status,referral_id,referral_status_code,referral_status_desc,referral_agency,referral_date,active_roi,revoked_consent,last_activity_date,last_activity_agency,data_source,hmis_platform
23d0198d-a2ee-4682-96de-120feec5847c,7bb646e9-4c76-46ef-b762-1b45feee1973,1d4afcd9-af57-4a90-a2e2-36548562e188,Liam,Williams,1958-05-31,6612,Full name reported,Full DOB reported,Client doesn't know,female,Native Hawaiian or Other Pacific Islander|White; Not Hispanic or Latino,Yes,No,HH,Place not meant for human habitation,34423b85-2772-4a90-bb04-4d96a2176f0d,Other,Seattle/King County CoC,20240812,20241127,06,Needs could not be met by program,Housed,Permanent housing,VI-SPDAT Assessment,20260213,1,20250604,No,24a45051-74b4-45d4-bdee-a2686ba94ce9,accepted,Accepted,Virginia Mason Medical Center,20250603,Yes,No,20251013,Virginia Mason Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
32f4fbfd-28dc-4196-9d2e-4d11345e2394,b9e0169a-b6f8-4004-bba8-14e170a16c94,2b237fc0-7466-421d-9215-b7cd3caffb96,Liam,Martinez,1972-01-25,8365,Full name reported,Approx/partial DOB,Full SSN reported,female,Native Hawaiian or Other Pacific Islander|White; Not Hispanic or Latino,No,Yes,ES,Emergency Shelter,84975d35-4ea7-4067-945a-68978357a3a2,Transitional Housing,Washington Balance of State CoC,20240926,20250205,04,Non-payment of rent or occupancy charge,Housed,Permanent housing,Referral to PSH,20250814,16,20250312,No,541814e6-b212-4880-8b4e-39d0da776771,declined,Declined,PeaceHealth St. Joseph,20251221,Yes,No,20250920,PeaceHealth St. Joseph,BitFocus-Clarity-HMIS,BitFocus Clarity
9ed3b341-f651-4172-82f0-f45e1f37a8f6,d110876a-c93e-47a2-bdcf-e636a16eb392,a6c73e4e-b9ea-4668-8844-c056e225f465,Rosa,Garcia,1981-03-07,8537,Full name reported,Full DOB reported,Partial SSN,female,White; Not Hispanic or Latino,No,Yes,SH,Safe Haven,fa691dbc-1469-4b8f-a119-7ac85998c62b,Transitional Housing,Tacoma/Lakewood CoC,20240614,,,,,,Referral to RRH,20250927,11,20250620,Unknown,42841818-44f3-46cb-94da-4ff1dfb2bcb8,accepted,Accepted,MultiCare Health System,20250727,Yes,No,20251225,MultiCare Health System,BitFocus-Clarity-HMIS,BitFocus Clarity
53fae52e-5003-4fcc-95e7-4658e16a69b5,35c74396-d873-469e-bac5-212245e7aeb9,4ab8d9b0-1a48-4600-bc69-82592c8ce3c6,Carlos,Brown,1973-01-24,4476,Full name reported,Full DOB reported,Full SSN reported,male,Black or African American|American Indian or Alaska Native; Not Hispanic or Latino,No,Yes,PH,Permanent Housing,5c8d3a23-e3df-4d39-bf32-6055e6f7163e,Other,Tacoma/Lakewood CoC,20250828,,,,,,VI-SPDAT Assessment,20260104,11,20250817,Yes,b4f21968-3db8-4fc5-abf2-d176eb49f595,accepted,Accepted,Swedish Medical Center,20250624,Yes,No,20251118,Swedish Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
3dadcff7-dea0-4211-b351-11a4a4a91c57,e0ea24ba-9ee2-428d-8fe3-df2641f9f21d,4e9551da-3af0-42b3-9245-63c2ff20f498,Ana,Jackson,1944-04-16,3524,Full name reported,Full DOB reported,Partial SSN,female,White|Black or African American; Hispanic or Latino,No,No,ES,Emergency Shelter,b6560b5c-9cca-4f64-b949-eab12da803df,Transitional Housing,Washington Balance of State CoC,20250106,,,,,,Phone Intake,20251108,11,20260126,No,ed658ed0-76a1-45af-afe2-b089f53a8182,pending,Pending,Swedish Medical Center,20260120,Yes,No,20251113,Swedish Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
d99c8c41-982d-454c-b723-1dcb19766848,281b2699-cc06-45c2-a95c-f12af5582132,f9185423-3e54-47ec-9120-84d855085b53,Samuel,Smith,1985-04-20,3933,Full name reported,Full DOB reported,Partial SSN,female,American Indian or Alaska Native|White; Unknown,No,Yes,TH,Transitional Housing,b0d3b9b8-da15-47a1-bbb4-50bc6f0c009b,Emergency Shelter,Seattle/King County CoC,20251128,,,,,,Referral,20260219,2,20250426,Unknown,75e9850a-563e-416f-bb30-3dcfaaac61fb,accepted,Accepted,UW Medical Center,20250314,Yes,No,20250831,UW Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
83845fbc-5d4a-404c-a191-773532dccfdf,0330ec98-08c5-4cf7-ab6b-5380341e2ae9,116777ad-8276-4bbf-9bde-05023a2cbb39,Wei,Martinez,2019-07-16,2471,Full name reported,Full DOB reported,Partial SSN,male,Native Hawaiian or Other Pacific Islander|American Indian or Alaska Native; Not Hispanic or Latino,No,Client doesn't know,PH,Permanent Housing,70ffb39c-d3d5-4a6d-8d02-658efe3e2559,Other,Spokane CoC,20240607,,,,,,Emergency Shelter Placement,20250403,1,20250819,No,9c679b75-d407-41cf-97c2-1a45d5d13aaa,accepted,Accepted,Virginia Mason Medical Center,20251114,Yes,No,20250919,Virginia Mason Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
961f1e27-fa32-4db9-abf9-7a6e9a98a697,7a42b5c0-af3c-47e4-80a6-c105210fe058,55b43cef-4896-4ae7-88fd-98c9d807745c,Emma,Thomas,1973-11-24,3008,Full name reported,Full DOB reported,Partial SSN,male,American Indian or Alaska Native; Hispanic or Latino,No,Client doesn't know,ES,Emergency Shelter,1262e8cb-65f7-4afa-ab14-e3b4be485107,Transitional Housing,Tacoma/Lakewood CoC,20250401,20250629,06,Needs could not be met by program,Not Housed,Permanent housing,Phone Intake,20250614,14,20260108,Unknown,7ecbbea5-3508-4497-a2a0-64740c8ae758,accepted,Accepted,UW Medical Center,20250930,Yes,No,20260223,UW Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
4b5adba9-e28b-4e58-9206-1f9ce1d9efd2,d1b74156-95ef-461e-86ef-a4dce46168e9,07517c5e-5ef8-45b1-aec9-c8e004cafcd8,Priya,Anderson,1939-09-26,8245,Full name reported,Full DOB reported,Partial SSN,female,Asian|American Indian or Alaska Native; Hispanic or Latino,No,Yes,ES,Emergency Shelter,50a5c0f5-5532-4b37-9922-96d0cbd3fcfb,Other,Spokane CoC,20251201,20261009,01,Left for a housing opportunity before completing program,Not Housed,Permanent housing,Housing Identified,20251114,6,20250613,Unknown,ee95e46e-faef-4421-a0d5-af834f157f9d,no_show,No Show,MultiCare Health System,20260218,Yes,No,20260216,MultiCare Health System,BitFocus-Clarity-HMIS,BitFocus Clarity
4fd987b3-aa63-46a3-8bcb-b3ca7dbf7819,43f1451d-7832-4337-85af-a4dba43eac15,e23d3d7b-3f37-4408-95e1-6472c1c6d342,Jennifer,Khan,1988-12-06,3830,Full name reported,Full DOB reported,Full SSN reported,female,Black or African American|Asian; Not Hispanic or Latino,No,No,PH,Permanent Housing,3b5e9438-9903-4ced-9be1-1f563df1a1a2,Homelessness Prevention,Seattle/King County CoC,20251225,20260803,01,Left for a housing opportunity before completing program,Housed,Permanent housing,VI-SPDAT Assessment,20250528,5,20250722,Yes,07c7b509-7bca-481a-bba6-8df17fc7f86c,declined,Declined,Virginia Mason Medical Center,20260201,Yes,No,20251124,Virginia Mason Medical Center,BitFocus-Clarity-HMIS,BitFocus Clarity
